,Region,GINI index,happy planet index,human development index,sustainable economic development assessment (SEDA),"GDP growth
(annual %)","GDP 
($ USD billions PPP)",GDP per capita in $ (PPP),Economic Growth,"health expenditure 
% of GDP",infant mortality,"maternal mortality per 100,000 live births","education expenditure
% of GDP",Education as % of GDP,% of primary school aged kids out of school,unemployment (%),% of population in extreme poverty,% of population with access to electricity,political rights score,civil liberties score,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,overall economic freedom score,financial freedom score,government expenditure (% of GDP),CO2e emissions per capita,share of electricity from renewables generation,% of seats held by women in national parliaments,Military Spending as % of GDP
0,Middle East & North Africa,,20.2,0.498,,1.5,75.60041810883031,2082.3921973316,1.18922812838034,3.69521999359131,60.7776428917134,638.0,3.78,3.19979000091553,0.0,8.5,0.0,97.6999969482422,12,14,-2.78,-1.33,-1.34,-1.57,-1.52,28.2,26.2,51.3,10.0,26.3,0.159824372036919,0.861,27.7,
1,Europe & Central Asia,29.0,36.8,0.785,53.1,2.6,38.1717937964676,13498.138167156,4.01935968514439,3.04999995231628,2.4,15.0,,0.0,2.55779004096985,16.3,0.0,100.0,28,40,0.4,0.08,0.22,-0.4,-0.42,25.4,39.9,64.5,70.0,30.1,1.69224831964856,1.0,27.9,0.014156359265315993
2,Middle East & North Africa,35.3,33.3,0.754,45.8,3.7,491.14515680214896,11908.5376066966,1.10000000013866,0.0,11.5513498559687,112.0,,5.8663501739502,0.35249999165535,11.2,0.0,99.8041305541992,10,25,-0.96,-0.6,-1.2,-0.86,-0.61,35.2,29.0,44.7,30.0,42.5,3.9776504588966,0.003,25.8,0.05592584070765493
3,Sub-Saharan Africa,42.7,,0.581,28.4,3.0,215.11792024170498,7148.93325257707,-1.31631210213166,3.12291765213013,8.8,241.0,,2.04470133781433,0.0,6.6,11.9,46.8906097412109,10,16,-0.29,-1.03,-1.04,-1.1,-1.41,25.4,18.9,48.6,40.0,32.1,0.792137069457626,0.545,38.2,0.011320598213115518
4,Americas,41.7,35.2,0.825,57.3,1.2,1012.1271894278101,23290.6757386443,-2.61739646282038,5.36144018173218,9.7,39.0,5.361440182,4.87773990631104,0.403450012207031,6.6,0.3,100.0,33,50,0.18,0.16,-0.29,-0.25,-0.26,44.5,32.6,52.3,60.0,38.5,3.74065029063396,0.307,38.9,0.005653180005588161
5,Europe & Central Asia,31.5,25.7,0.755,51.7,3.0,37.5317084189153,13018.8742919449,5.19999999965324,2.24724006652832,0.0,26.0,2.247240067,2.25587010383606,6.90522003173828,16.8,0.1,100.0,15,30,-0.71,-0.1,0.28,-0.16,-0.56,47.4,40.5,68.7,70.0,25.8,2.08606067775467,0.296,18.1,0.04440121091300058
6,East Asia & Pacific,30.3,21.2,0.939,78.9,2.5,1224.8788508978,50169.1872936523,2.87097248021668,5.1646900177002,3.0,6.0,5.192669868,5.12344980239868,0.428380012512207,5.7,0.4,100.0,40,58,0.9,1.54,1.93,1.68,1.8,93.4,77.4,80.9,90.0,36.0,15.2382671504147,0.144,28.7,0.019784225331599316
7,Europe & Central Asia,30.5,30.5,0.908,80.3,0.9,488.51278954223295,56960.0914258929,2.50159511872086,5.44761991500854,17.3,5.0,5.448979855,5.22452020645142,0.043699998408556,6.1,0.5,100.0,37,57,1.04,1.46,1.44,1.81,1.53,80.9,73.5,71.8,70.0,51.8,7.2939842524557,0.8,30.6,0.008021216714476538
8,Europe & Central Asia,33.7,,0.757,51.1,1.1,141.24010209867,14549.0618972126,1.49999999999999,2.63303995132446,38.6,26.0,2.633039951,2.45543003082275,3.89419007301331,5.1,0.0,100.0,3,9,-0.76,-0.16,-0.25,-0.56,-0.88,36.8,39.9,64.3,60.0,36.8,3.54239782750878,0.078,16.8,0.05270059006284969
9,Americas,,,0.807,60.4,0.5,13.960255356445101,37065.5344499437,1.8310077944388,2.5,4.9,70.0,,2.24967384338379,0.0,15.3,0.0,100.0,38,53,1.0,0.58,0.12,0.19,1.17,53.5,50.9,63.3,60.0,23.8,7.29166109736758,0.0,12.8,0.0
